,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
0,01b41dq9,1,0.7,25.0,5.0,15.0,21.0,58,1.0,100,5,1,Cooperate,1,5.0,67fcf5dc1c789df535a17c14,0,105,1,115,0y60vrio,q6w5exb0
1,01qwm596,1,0.9,24.0,2.0,13.0,18.0,108,6.0,0,0,0,Defect,1,24.0,615b1ab789b14c9996251fb4,0,0,1,237,0y60vrio,kvadpe77
2,01qwm596,2,0.9,24.0,2.0,13.0,18.0,108,6.0,0,0,0,Cooperate,1,2.0,615b1ab789b14c9996251fb4,1,0,2,237,0y60vrio,kvadpe77
3,01qwm596,3,0.9,24.0,2.0,13.0,18.0,108,6.0,0,0,0,Defect,1,13.0,615b1ab789b14c9996251fb4,1,0,3,237,0y60vrio,kvadpe77
4,01qwm596,4,0.9,24.0,2.0,13.0,18.0,108,6.0,0,0,0,Defect,1,13.0,615b1ab789b14c9996251fb4,1,0,4,237,0y60vrio,kvadpe77
5,01qwm596,5,0.9,24.0,2.0,13.0,18.0,108,6.0,0,0,0,Defect,1,24.0,615b1ab789b14c9996251fb4,0,0,5,237,0y60vrio,kvadpe77
6,01qwm596,6,0.9,24.0,2.0,13.0,18.0,108,6.0,100,13,6,Defect,1,13.0,615b1ab789b14c9996251fb4,1,113,6,237,0y60vrio,kvadpe77
7,02kmho5t,1,0.9,24.0,9.0,12.0,23.0,59,1.0,100,24,1,Defect,2,24.0,5f97222fa31f2709bcd63373,1,124,1,120,0y60vrio,dn7vet8u
8,03al49ih,1,0.55,23.0,1.0,2.0,16.0,124,2.0,0,0,0,Defect,1,23.0,67e3279bef0273a1887e94fc,1,0,1,270,0y60vrio,3l2o2kmv
9,03al49ih,2,0.55,23.0,1.0,2.0,16.0,124,2.0,100,1,2,Cooperate,1,1.0,67e3279bef0273a1887e94fc,1,101,2,270,0y60vrio,3l2o2kmv
10,0e385e8j,1,0.55,13.0,1.0,10.0,11.0,181,1.0,100,1,1,Cooperate,1,1.0,67d05ecc81a53e6ca5097594,0,101,1,337,0y60vrio,5zyfjtme
11,0fqdxp81,1,0.55,20.0,4.0,16.0,18.0,247,1.0,100,18,1,Cooperate,2,18.0,66aca1b2b61fbce1984d5ecf,0,118,1,445,0y60vrio,5ydzv0bs
12,0fvllc2r,1,0.7,25.0,5.0,6.0,21.0,262,5.0,0,0,0,Cooperate,1,21.0,681f0b4fb28dc1b7d4b5451d,0,0,1,473,0y60vrio,up1gs022
13,0fvllc2r,2,0.7,25.0,5.0,6.0,21.0,262,5.0,0,0,0,Cooperate,1,5.0,681f0b4fb28dc1b7d4b5451d,0,0,2,473,0y60vrio,up1gs022
14,0fvllc2r,3,0.7,25.0,5.0,6.0,21.0,262,5.0,0,0,0,Defect,1,25.0,681f0b4fb28dc1b7d4b5451d,1,0,3,473,0y60vrio,up1gs022
15,0fvllc2r,4,0.7,25.0,5.0,6.0,21.0,262,5.0,0,0,0,Defect,1,6.0,681f0b4fb28dc1b7d4b5451d,1,0,4,473,0y60vrio,up1gs022
16,0fvllc2r,5,0.7,25.0,5.0,6.0,21.0,262,5.0,100,5,5,Cooperate,1,5.0,681f0b4fb28dc1b7d4b5451d,1,105,5,473,0y60vrio,up1gs022
