paper,id,session,inter,c,opp_c,payoff,delta,g,l
Aoyagi and Frechette 2009,1661,100,1,"[-1, -1, -1, -1]","[-1, 1, -1, 1]","[0.0, 1.33333333, 0.0, 1.33333333]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1661,100,2,"[1, 1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[1, 1, 1, -1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 1.0, 1.0, -0.11111111, 1.33333333, 1.33333333, 0.0, 1.33333333, 1.33333333, 1.33333333, 1.33333333, 1.33333333, 1.33333333, 1.33333333, 0.0, 1.33333333]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1661,100,3,"[1, 1, 1]","[1, 1, 1]","[1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1661,100,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1661,100,5,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1661,100,6,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1661,100,7,"[1, 1]","[1, 1]","[1.0, 1.0]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1661,100,8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1662,100,1,"[-1, -1, 1, -1]","[1, -1, -1, 1]","[1.33333333, 0.0, -0.11111111, 1.33333333]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1662,100,2,"[-1, -1, 1, 1, 1, -1, -1, -1, -1, -1, 1, 1, 1, -1, 1, 1]","[1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, -1, -1, 1, 1]","[1.33333333, 0.0, -0.11111111, -0.11111111, -0.11111111, 0.0, 0.0, 0.0, 0.0, 1.33333333, 1.0, 1.0, -0.11111111, 0.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1662,100,3,"[1, 1, 1]","[1, 1, -1]","[1.0, 1.0, -0.11111111]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1662,100,4,"[1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-0.11111111, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
Aoyagi and Frechette 2009,1662,100,5,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9,0.33333333,0.11111111
