id,session,inter,g,l,delta,delta_rd,num_rounds
1,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
1,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
1,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
1,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
1,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
1,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
1,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
1,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
1,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
1,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
1,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
1,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
1,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
1,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
1,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
1,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
2,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
2,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
2,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
2,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
2,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
2,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
2,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
2,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
2,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
2,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
2,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
2,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
2,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
2,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
2,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,2,2.5714286,1.8571429,0.5,-0.3157894761080332,2
3,1,3,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,4,2.5714286,1.8571429,0.5,-0.3157894761080332,4
3,1,5,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,6,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,7,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,8,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,9,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,10,2.5714286,1.8571429,0.5,-0.3157894761080332,3
3,1,11,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,12,2.5714286,1.8571429,0.5,-0.3157894761080332,3
3,1,13,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,14,2.5714286,1.8571429,0.5,-0.3157894761080332,3
3,1,15,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,16,2.5714286,1.8571429,0.5,-0.3157894761080332,2
3,1,17,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,18,2.5714286,1.8571429,0.5,-0.3157894761080332,3
3,1,19,2.5714286,1.8571429,0.5,-0.3157894761080332,4
3,1,20,2.5714286,1.8571429,0.5,-0.3157894761080332,2
3,1,21,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,22,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,23,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,24,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,25,2.5714286,1.8571429,0.5,-0.3157894761080332,4
3,1,26,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,27,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,28,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,29,2.5714286,1.8571429,0.5,-0.3157894761080332,2
3,1,30,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,31,2.5714286,1.8571429,0.5,-0.3157894761080332,5
3,1,32,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,33,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,34,2.5714286,1.8571429,0.5,-0.3157894761080332,1
3,1,35,2.5714286,1.8571429,0.5,-0.3157894761080332,3
3,1,36,2.5714286,1.8571429,0.5,-0.3157894761080332,3
3,1,37,2.5714286,1.8571429,0.5,-0.3157894761080332,1
4,1,1,2.5714286,1.8571429,0.5,-0.3157894761080332,1
