,participant.code,decision_tuple,payoff_tuple,timeout_tuple,player.prolific_id,player.id_in_group,group.delta_value,opponent,group.id_in_subsession,session.code,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate
0,0005xhoh,"[[1, 1], [0, 1], [1, 1], [1, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 0], [1, 0], [1, 0], [0, 1], [0, 0], [0, 1], [1, 1], [1, 0], [0, 1]]","[[20.0, 20.0], [24.0, 1.0], [20.0, 20.0], [20.0, 20.0], [24.0, 1.0], [1.0, 24.0], [24.0, 1.0], [1.0, 24.0], [24.0, 1.0], [1.0, 24.0], [17.0, 17.0], [1.0, 24.0], [1.0, 24.0], [24.0, 1.0], [17.0, 17.0], [24.0, 1.0], [20.0, 20.0], [1.0, 24.0], [24.0, 1.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",66a3a8220b2adfabcfd1f30f,2,0.95,p26xqnuv,28,j1p1ewuh,24.0,1.0,17.0,20.0
1,002pciur,"[[1, 0]]","[[7.0, 13.0]]","[[1, 0]]",68461bee0cd0b7c06a6dea2f,1,0.5,5zsh58s8,90,x7xmwjlv,13.0,7.0,11.0,12.0
2,00ewcpmu,"[[0, 1], [1, 1], [0, 0], [0, 0]]","[[23.0, 7.0], [19.0, 19.0], [13.0, 13.0], [13.0, 13.0]]","[[0, 0], [0, 0], [0, 0], [0, 0]]",60c6c9420b4d17c6a1fa8828,1,0.8,gk23d2yf,86,mhrqxct8,23.0,7.0,13.0,19.0
3,00iyg0ao,"[[1, 1]]","[[11.0, 11.0]]","[[0, 1]]",682ce7cc21daadcd656ce3f1,2,0.6,3mofbmh7,20,toh4jetx,12.0,2.0,3.0,11.0
4,00l8h80u,"[[1, 1], [1, 1], [0, 1], [0, 0]]","[[18.0, 18.0], [18.0, 18.0], [21.0, 6.0], [9.0, 9.0]]","[[0, 0], [0, 0], [0, 0], [0, 0]]",677e7a411cbcd54ed0c8f545,1,0.95,rxh0981d,31,ott20m29,21.0,6.0,9.0,18.0
5,00mac9tf,"[[1, 1]]","[[16.0, 16.0]]","[[1, 0]]",58ee956a575c01000180b080,1,0.5,ln7r2otp,78,03f1th4j,20.0,4.0,11.0,16.0
6,00rv4kzi,"[[1, 0], [1, 0], [0, 0], [0, 0], [1, 0], [0, 0]]","[[5.0, 24.0], [5.0, 24.0], [13.0, 13.0], [13.0, 13.0], [5.0, 24.0], [13.0, 13.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",6634e0e2300e0d377e2cf876,2,0.8,mfq8blii,19,4kwfwu02,24.0,5.0,13.0,18.0
7,012fc3dc,"[[1, 0], [0, 0], [0, 0]]","[[6.0, 25.0], [10.0, 10.0], [10.0, 10.0]]","[[0, 0], [1, 0], [1, 0]]",612adba08b8235b31539c704,2,0.75,moqxb3j0,8,gnnd2jq9,25.0,6.0,10.0,17.0
8,01746c4w,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[[17.0, 17.0], [17.0, 17.0], [17.0, 17.0], [17.0, 17.0], [17.0, 17.0], [17.0, 17.0], [17.0, 17.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",6666fe99fb6aca03001cf5fb,2,0.65,mhtvca3a,96,c65i6qtb,23.0,7.0,14.0,17.0
9,019hytai,"[[1, 1], [1, 0]]","[[20.0, 20.0], [7.0, 24.0]]","[[0, 0], [0, 0]]",64ef4386a31700e2d88622c9,2,0.7,ciefty6o,9,xpdm6lij,24.0,7.0,13.0,20.0
